id,category,categoryLabel,key,emoji,nameKo,descKo,tier,price,coinCost,itemKind,deviceKind,command,sprite,aiPrompt
"ach_boss1","ach","업적","boss1","📝","중간고사 통과","보스 1회 클리어",,,,,,,"Sprites/Achievements/ach_boss1.png","a bronze medal badge with a graduation exam paper, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_boss5","ach","업적","boss5","🎓","졸업반","보스 5회 클리어",,,,,,,"Sprites/Achievements/ach_boss5.png","a golden graduation cap medal with five stars, prestige achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_cherry100","ach","업적","cherry100","🍒","체리 수확가","🍒체리 누적 100개",,,,,,,"Sprites/Achievements/ach_cherry100.png","a golden medal badge engraved with a red cherry, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_cherry500","ach","업적","cherry500","🍒","체리 중독","🍒체리 누적 500개",,,,,,,"Sprites/Achievements/ach_cherry500.png","an ornate platinum medal overflowing with red cherries, prestige achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_crown10","ach","업적","crown10","👑","왕관 수집가","👑왕관 누적 10개",,,,,,,"Sprites/Achievements/ach_crown10.png","a golden medal badge engraved with a small crown, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_crown30","ach","업적","crown30","👑","대관식","👑왕관 누적 30개",,,,,,,"Sprites/Achievements/ach_crown30.png","a majestic jeweled medal topped with a golden crown, prestige achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_exact1","ach","업적","exact1","🎯","완벽한 계산","요구 EXP 정확 일치",,,,,,,"Sprites/Achievements/ach_exact1.png","a golden medal badge with a precise dartboard bullseye, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_jackpot1","ach","업적","jackpot1","🎰","첫 잭팟","5칸 잭팟 1회",,,,,,,"Sprites/Achievements/ach_jackpot1.png","a golden medal badge with three lucky seven jackpot symbols, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_jackpot10","ach","업적","jackpot10","🎰","잭팟 헌터","5칸 잭팟 10회",,,,,,,"Sprites/Achievements/ach_jackpot10.png","a blazing golden medal with rolling jackpot reels and coins bursting, prestige achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_lastclear5","ach","업적","lastclear5","⏰","벼락치기 천재","마지막 스핀 클리어 5회",,,,,,,"Sprites/Achievements/ach_lastclear5.png","a golden medal badge with a clock at one second to midnight, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_prism5","ach","업적","prism5","🌈","규칙 파괴자","프리즘 증강 5회",,,,,,,"Sprites/Achievements/ach_prism5.png","an iridescent rainbow prism medal badge, shimmering achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_runs20","ach","업적","runs20","🔁","단골","20런 플레이",,,,,,,"Sprites/Achievements/ach_runs20.png","a worn bronze medal badge with a loop repeat arrow, loyal player achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_score10k","ach","업적","score10k","💯","만점왕","최고 10,000점",,,,,,,"Sprites/Achievements/ach_score10k.png","a golden medal badge with the number 100 percent, achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
"ach_score50k","ach","업적","score50k","🏆","슬롯의 지배자","최고 50,000점",,,,,,,"Sprites/Achievements/ach_score50k.png","a radiant grand champion trophy cup made of gold, prestige achievement trophy, single subject centered, soft plain dark studio gradient background, highly detailed digital painting, game collectible card art, vibrant colors, sharp focus"
